"","id","type","hcldividi","hclturkre","hcleducat","hclpoliti","hclfiscal","hclsocial","hclgod","hclincome","hclage","hclgender","O","C","E","A","N","hcltrust","hclthough","hcltstpep","riskecon_1","ambigecon_1","mazeecon","trolley1","trolley2","k","prosociality","intellectualism","selfdetermination","selfcontrol"
"33","A1P33NYD7K2I78",1,1,6,5,5,3,2,5,3,61,1,1.37737039870038,0.715206993817653,0.233147163366815,-0.360843373982571,0.760127542975206,5,2,4,1,1,1,1.63270955260512,-0.629640979965272,0.00175,-3.75712626334441,0.566750189761736,1.10267405567765,-0.1896632350248
"34","A2I7S2991CE4XO",2,2,1,5,4,4,3,1,1,55,0,0.337393742494443,1.27127585857614,0.707239054092645,-0.360843373982571,-0.679615591382816,5,2,3,3,1,2,-2.60334568435174,0.860423090014623,0.00028,4.73546313727914,-0.406060987785968,2.66866901546004,-1.21100707082579
"35","ALN8151AY0OUT",1,5,4,5,4,2,3,6,7,33,0,-0.182594585608526,1.27127585857614,0.233147163366815,-0.913470002147316,-1.6394443476215,5,1,3,2,1,2,-2.12628060505341,1.21959117661777,0.011,-1.74572593433406,-0.881442874271165,-3.02338902936143,1.61802930070693
"36","A140YPR616WHQ8",1,1,2,6,2,6,5,7,7,26,0,-1.74255956991744,1.27127585857614,-0.240944727359016,0.191783254182173,0.760127542975206,3,1,5,2,1,2,0.0971856394756699,-0.0641929882768975,0.011,-2.05340797328117,0.776366281513093,-3.26553997386131,-0.637672123820387
"37","A2IKS5HMNMK5LB",0,2,1,3,3,4,3,7,6,51,0,-1.22257124181447,-1.50906846521628,-1.66322039953651,-2.57134988664155,2.19987067733323,1,5,3,1,0,1,0.537994559274274,-2.47887313654831,0.0705,10.4286260636342,2.07392091517142,-2.13414734266899,0.0587385636310271
"38","AM7MKQKO9HWLR",1,3,1,6,6,1,1,1,7,34,1,-0.702582913711496,-0.396930735699312,-0.240944727359016,0.191783254182173,0.760127542975206,4,2,4,5,1,1,0.0971856394756699,-0.988809066568417,0.006375,2.5234341020609,-2.79242971750774,-0.0895299795314636,-1.24344903403982
"39","A3V5EAI6B7ZIO8",2,1,5,3,3,5,4,7,5,25,0,0.857382070597413,0.159138129059171,0.707239054092645,0.191783254182173,0.280213164855865,5,3,5,1,1,1,-1.59705118813785,0.294975098326247,0.0705,-2.08651268301501,0.756262179395452,-0.0533777483848663,0.83031415530089
"40","ARRUO9EHU6IWM",1,2,1,4,6,1,1,1,1,20,1,-1.22257124181447,-2.62120619473324,-1.18912850881068,-0.360843373982571,1.71995629921389,6,5,4,2,2,2,0.0268932221085667,-0.629640979965272,0.011,10.0721025027652,0.844348604721119,4.2696157211876,-1.66542815244751
"41","A2O3VMCPGWZ176",0,5,1,4,6,1,1,1,2,20,0,-0.702582913711496,-1.50906846521628,1.18133094481848,0.191783254182173,0.760127542975206,5,5,3,0,0,1,-1.43833827365378,-0.423361074880042,0.00425,5.54650035729268,-0.183492312298891,4.55209897091982,-0.347522804116609
"42","AMHS55IO8IWSH",1,3,4,5,5,2,2,2,6,29,0,0.857382070597413,0.715206993817653,1.18133094481848,0.191783254182173,0.280213164855865,5,2,5,5,5,1,-1.98569577031921,0.501255003411478,0.0285,-1.05255550948528,-2.29967649437412,-0.725653730542073,0.875454834292276
"43","A26A2IFLD2XM9G",0,3,6,4,3,3,3,5,6,26,1,-1.22257124181447,-0.396930735699312,1.65542283554431,0.191783254182173,-1.15952996950216,6,2,4,5,5,1,-0.538592354306717,-0.629640979965272,0.011,-3.1872322893814,0.10387328680282,2.17478937597189,0.389724744147743
"44","A3422FS8PT4NQC",0,3,1,6,6,1,1,3,5,24,1,0.857382070597413,0.159138129059171,0.707239054092645,1.84966313867641,0.280213164855865,6,2,4,1,1,1,-2.05598818768631,0.860423090014623,0.0705,-3.24649099666337,-1.9178629459732,0.082897084612458,-0.832816226641824
"45","A1MKM0DPS1987Q",2,1,7,5,3,4,3,5,7,32,1,-1.74255956991744,0.715206993817653,0.233147163366815,1.29703651051166,-0.199701213263476,5,2,4,5,5,2,-1.06782177122228,0.294975098326247,0.00175,-0.0360178932863884,-0.632868090186674,-0.131903461674179,0.401404236934438
"46","A1W9HHRKSUM956",1,4,3,3,4,5,3,5,3,48,0,-0.702582913711496,-0.952999600457794,-0.715036618084846,-1.46609663031206,0.760127542975206,5,4,3,2,2,1,-1.59705118813785,-0.629640979965272,0.0705,6.9806620822487,0.149106552201671,1.66293551868891,1.37964271681332
"47","A1G0CYMG3GV4OW",1,3,1,2,3,6,6,7,6,54,1,-0.702582913711496,0.715206993817653,-1.66322039953651,-2.0187232584768,1.24004192109455,5,2,5,1,1,1,1.63270955260512,1.21959117661777,0.0285,7.27231010056332,0.65387417606006,-0.599320653970129,0.233297984900301
"48","AKZ8SFOAI4RZN",1,2,6,5,4,3,2,1,6,27,0,-0.702582913711496,-1.50906846521628,-0.240944727359016,0.191783254182173,0.280213164855865,4,2,2,2,2,2,0.644543136141094,-0.0641929882768975,0.00425,5.37522124118827,-0.691530954599933,-0.695420754049632,-1.33532099170379
"49","A234W3KZO05VA5",1,3,2,4,5,3,1,1,6,22,1,-0.182594585608526,-0.952999600457794,0.707239054092645,-0.360843373982571,0.280213164855865,5,4,5,1,1,1,1.63270955260512,1.21959117661777,0.0285,2.61771896064069,-2.43830963573213,2.43505409569315,-0.217039486540012
"50","A3BXSMRCP1I2UN",0,1,3,6,1,6,6,7,10,43,0,-1.22257124181447,0.159138129059171,-0.240944727359016,-2.0187232584768,0.280213164855865,1,1,5,4,4,1,1.63270955260512,1.21959117661777,0.00028,-0.0449379930922237,1.18786000158954,-5.6106644893585,-2.84067270575034
"51","A26OCU9PF393MC",2,3,2,5,4,5,2,1,4,30,0,1.37737039870038,1.27127585857614,-1.66322039953651,-0.913470002147316,-0.199701213263476,3,1,2,2,1,1,1.63270955260512,-0.629640979965272,0.011,-0.506122669167517,-3.29870511640575,-0.203750938396621,-3.42783550872442
"52","A26CL8E3XJWH1W",1,3,6,2,3,4,3,1,1,31,0,1.37737039870038,-0.952999600457794,-1.66322039953651,-1.46609663031206,0.280213164855865,5,2,5,4,1,1,-0.979401274105321,-0.0641929882768975,0.011,0.955897767478286,-3.02768829982705,1.08326534156921,-1.59546901980657
"53","A3FU99QHMC1KLP",1,2,1,5,5,3,2,1,6,33,0,-0.182594585608526,-1.50906846521628,0.707239054092645,0.191783254182173,-0.199701213263476,5,2,3,0,0,1,-0.343623280322935,-1.34797715317156,0.2125,-4.16106435355836,1.01968317292027,-0.681024282202735,0.23254203085444
"54","A2Q9V1TT4KDG4Q",1,4,3,3,5,4,2,3,6,52,0,0.857382070597413,-1.50906846521628,-1.18912850881068,0.191783254182173,0.280213164855865,5,3,3,2,1,2,1.63270955260512,1.21959117661777,0.011,0.443772706076403,-1.89800983852897,1.00543222170418,0.114368533472536
"56","AH4RLAVOVY2AF",0,3,2,5,3,4,2,1,2,22,0,-2.26254789802041,0.159138129059171,-0.240944727359016,-0.360843373982571,-1.15952996950216,5,4,4,3,1,2,0.556122639024133,1.21959117661777,0.00175,2.21444384343578,-0.578350637958158,-0.674944776568348,-2.4171257496069
"57","AUAN582MLI96N",0,3,6,6,3,3,3,1,9,36,0,0.857382070597413,0.715206993817653,0.233147163366815,0.191783254182173,-1.15952996950216,5,2,3,2,1,1,-1.89727527320225,-2.63176131806623,0.011,-1.86236121107068,-3.52865982894023,0.301028486966462,-0.442772071158938
"58","A2GPMBGECD9TQY",0,3,2,5,3,4,4,7,6,30,1,-2.26254789802041,-0.952999600457794,-1.66322039953651,-0.913470002147316,0.760127542975206,3,4,3,1,1,2,1.63270955260512,0.294975098326247,0.0285,2.74326195055057,2.23937288004315,0.8214564703994,-2.11095876689636
"59","A3OSYB9KDJJHRZ",1,3,3,4,4,3,3,6,9,24,1,-0.182594585608526,-0.396930735699312,0.707239054092645,0.191783254182173,-0.199701213263476,4,2,4,1,1,1,0.0971856394756699,0.860423090014623,0.011,-0.189964177112154,0.659756412374175,1.72081793686344,0.470591545201587
"60","A376N72I8BEE46",2,2,4,6,4,3,1,2,6,28,0,1.37737039870038,0.715206993817653,0.707239054092645,1.29703651051166,-0.199701213263476,4,1,2,5,5,1,-0.520464274556858,1.21959117661777,0.00175,-5.40924464718866,-2.7734973172282,0.744646042508355,-0.641927065699289
"61","A2LGDJ5PRMDXFK",1,1,1,5,4,3,4,4,8,23,1,-0.702582913711496,-0.952999600457794,0.233147163366815,-0.360843373982571,0.280213164855865,4,3,3,4,4,2,-1.43833827365378,-1.34797715317156,0.2125,5.09171062233261,1.70890243023493,-0.829943518701687,2.13205540564623
"62","A1FCOYD9W280QC",0,1,7,6,6,1,1,1,9,33,1,0.857382070597413,1.27127585857614,0.233147163366815,-0.913470002147316,-0.199701213263476,7,1,5,1,1,2,-0.520464274556858,1.21959117661777,0.0285,-3.31393441295855,-3.350751430697,0.456604119515748,-1.97861479185508
"63","A10IJLXWZZTN6L",1,1,5,2,1,6,5,7,7,25,0,-2.26254789802041,1.27127585857614,-1.66322039953651,-1.46609663031206,0.760127542975206,6,4,4,1,0,2,1.63270955260512,-0.629640979965272,0.0285,1.25114908132133,2.89082215486344,-2.07911953137929,-2.13959851463113
"64","A25DHXVNVC0VPW",0,3,7,5,3,4,3,3,4,25,0,0.857382070597413,-1.50906846521628,0.233147163366815,-0.913470002147316,-0.199701213263476,5,4,4,1,1,1,-2.05598818768631,-0.988809066568417,0.011,-1.73547319025666,-2.16291191605573,0.0793316391932719,0.394523466226597
"65","A1KY12JRA99PRI",1,5,5,5,3,4,4,7,4,60,1,0.857382070597413,1.27127585857614,0.233147163366815,1.84966313867641,-0.199701213263476,6,3,3,1,1,1,0.0268932221085667,-0.629640979965272,0.011,-1.8349855028742,0.948289038575448,0.00585167882246529,-2.88395658537668
"66","A194RBWC82J7RS",1,3,7,4,2,3,3,1,7,22,0,0.337393742494443,-0.396930735699312,0.707239054092645,1.29703651051166,0.760127542975206,4,1,4,3,2,1,0.0268932221085667,0.294975098326247,0.01975,-2.05238908276855,-2.35138813309898,0.533467845532742,0.454310316309708
"67","A2X81M4WAKT9AW",0,4,5,6,3,4,2,7,5,36,1,-0.182594585608526,-0.396930735699312,-0.715036618084846,-0.360843373982571,0.760127542975206,3,3,3,1,1,1,-0.502336194806999,1.21959117661777,0.006375,-1.81617091772378,2.7215817245748,0.76674631738032,-2.73242952877319
"68","AWPL2OXUHG7Q2",2,1,4,4,5,5,3,7,4,25,0,0.857382070597413,0.159138129059171,0.233147163366815,0.191783254182173,-0.679615591382816,4,1,2,2,2,1,1.0853520559397,1.21959117661777,0.175,-4.62335952491579,1.85405892099711,-1.41768958394299,-0.345000965732871
"69","A1UGULO4EYH2JG",1,2,4,4,5,3,3,7,5,29,1,0.337393742494443,-0.396930735699312,0.233147163366815,0.191783254182173,-0.199701213263476,6,2,4,4,1,1,0.0268932221085667,-0.629640979965272,0.011,-0.318882251561885,2.10310340552484,1.02565939627316,0.353167991866539
"70","ASSDGKLK7DWH4",1,3,7,5,4,3,3,2,4,29,1,-0.182594585608526,-0.396930735699312,-0.240944727359016,0.191783254182173,-0.199701213263476,6,2,3,1,0,1,-2.05598818768631,-0.0641929882768975,7e-04,1.95451791497728,-0.499914783094733,-0.672430698566611,-0.242747120955437
"71","ACNR49M697E3",1,3,6,6,3,4,3,3,7,56,1,0.857382070597413,1.27127585857614,-1.66322039953651,-0.360843373982571,0.280213164855865,4,2,4,1,1,1,0.556122639024133,0.294975098326247,0.00175,1.78707945730463,-2.57147285965943,-0.954578393553354,-0.0615140288333426
"72","A321IF5KK5N47D",2,3,6,6,2,5,5,7,4,33,1,-0.702582913711496,-0.396930735699312,0.707239054092645,-0.913470002147316,1.71995629921389,6,2,3,3,1,2,1.10348013568956,0.294975098326247,0.00175,-2.35320446409897,1.79344340584433,-0.515012272770874,2.76374034875237
"73","A5KT0PJWWGZAY",1,3,1,5,2,5,5,7,8,39,0,-2.78253622612338,0.159138129059171,-1.66322039953651,-0.360843373982571,1.24004192109455,6,2,4,5,1,1,1.10348013568956,0.294975098326247,0.00022,0.934778199846064,4.41514301905999,0.670826294530614,-2.56885984151257
"74","A3CIUPLZ6614U2",1,3,4,6,4,4,3,2,6,41,0,1.37737039870038,-0.952999600457794,-1.18912850881068,-0.913470002147316,-0.679615591382816,4,2,3,2,1,1,0.556122639024133,1.21959117661777,0.011,5.39352209215494,-0.983569622859292,0.549021998219773,-1.21737336973482
"75","A1OCV75Q4Y5HY3",0,1,3,6,2,4,3,6,7,26,0,-1.22257124181447,0.715206993817653,1.18133094481848,0.744409882346917,0.280213164855865,5,2,4,5,5,1,1.63270955260512,-0.629640979965272,0.0705,-2.16313287543419,-0.524646553547966,-2.12842036251941,-1.35706452687676
"76","A2DCRHB9XBTON1",0,3,5,4,5,2,2,1,4,25,1,-0.182594585608526,-0.952999600457794,0.707239054092645,0.191783254182173,0.760127542975206,6,2,4,4,2,1,0.0971856394756699,-0.0641929882768975,0.0705,-0.945204528810604,-1.83396380309216,0.824249822836628,1.88840573055205
"77","A3NWOYU4B9XQ3D",1,2,3,5,1,6,6,7,7,22,0,-0.702582913711496,1.27127585857614,0.233147163366815,0.744409882346917,-0.199701213263476,6,1,5,9,1,1,0.0268932221085667,-0.629640979965272,0.011,-1.73367546054929,1.80358403007612,-1.81996936399124,-0.678632029100193
"78","A3RE62T7SMLL5W",1,3,4,5,5,2,2,5,5,41,1,0.337393742494443,0.159138129059171,0.707239054092645,0.191783254182173,0.760127542975206,5,2,4,4,4,1,-1.87914719345239,-2.63176131806623,0.15117,-1.76435978509728,0.445172191374379,-0.698354339199951,0.993378584885923
"79","ABFJSOC07JFH2",0,4,1,6,6,3,1,1,5,29,1,0.857382070597413,0.159138129059171,-0.240944727359016,-0.913470002147316,-0.679615591382816,5,2,4,1,0,1,0.556122639024133,1.21959117661777,0.00175,-1.11176449890947,-2.19282057207865,-0.0330330419017468,1.50167094973286
"80","AIFNYG43ANHUU",1,4,1,4,2,5,5,6,6,40,0,0.337393742494443,-0.952999600457794,0.707239054092645,0.744409882346917,2.19987067733323,4,3,3,1,1,1,0.574250718773991,-1.55425705825679,0.011,5.28005958230865,-0.628871132375125,3.23091879579026,-0.426906768406769
"81","A2UT6OMVCA64LH",0,1,4,3,5,1,1,1,6,26,0,0.337393742494443,1.27127585857614,1.18133094481848,0.191783254182173,-1.6394443476215,5,5,3,2,3,2,0.644543136141094,-0.988809066568417,0.011,-4.28857024635705,0.685426565786856,0.286573328312623,-0.0299968340760789
"82","ATE9PZWYBITI3",1,3,6,4,3,3,3,7,2,35,1,-1.22257124181447,0.715206993817653,1.18133094481848,-1.46609663031206,-0.679615591382816,5,1,5,1,1,1,-1.52675877077075,-0.0641929882768975,0.10175,-2.67780344913074,1.43369591717144,-1.49612467765033,1.09276719385046
"83","A1OIXGF4N7O93T",0,3,1,5,4,4,3,7,2,47,1,-0.182594585608526,0.715206993817653,-1.66322039953651,-0.360843373982571,1.24004192109455,6,2,4,1,1,1,0.556122639024133,0.294975098326247,0.0285,2.4014470514106,2.2234827622352,1.17085209779531,1.76913313493882
"85","A2R46MFJ5HZHXH",1,2,1,6,4,3,2,1,4,27,0,0.337393742494443,-1.50906846521628,-1.18912850881068,0.191783254182173,-0.199701213263476,5,2,4,5,4,1,-0.820688359621256,-1.70714523977471,0.00425,0.635868598912187,-2.00421178104003,-1.20437950886233,-0.182924291595126
"86","A2GZDIIKSTJ6OD",0,3,1,5,4,5,3,5,8,32,0,0.337393742494443,-1.50906846521628,0.707239054092645,-0.913470002147316,0.280213164855865,4,2,4,1,1,2,-0.979401274105321,-0.0641929882768975,0.011,-0.589383881731459,0.431599958797415,0.331460945086984,-0.782752550011095
"87","A3D6DQGF78M17W",0,4,6,4,4,3,3,1,2,39,1,-0.182594585608526,-0.396930735699312,-1.18912850881068,-0.360843373982571,0.760127542975206,3,2,3,1,1,1,-1.59705118813785,1.21959117661777,0.00022,3.09568742165765,-1.74152505025795,1.18624047623959,-0.0539704544353669
"88","A3K5UWTEXROF90",1,1,6,5,6,1,1,1,6,34,0,0.337393742494443,0.159138129059171,-1.66322039953651,0.191783254182173,-0.199701213263476,5,3,4,1,1,2,1.63270955260512,-0.629640979965272,0.0705,2.19243088779103,-1.25740966006377,2.05881396686146,-0.527531673349413
"90","A1XOXGWBAN6HEJ",0,1,7,2,3,3,3,7,3,28,0,1.37737039870038,1.27127585857614,-0.240944727359016,1.29703651051166,-1.6394443476215,4,1,3,1,1,1,1.63270955260512,-0.629640979965272,0.0705,2.81097295272457,2.36818842030471,2.29979247740007,-0.949281462774881
"91","A2WZDY9R2GHRXD",1,3,6,4,5,1,2,7,4,22,1,0.337393742494443,-2.06513732997476,0.707239054092645,-0.360843373982571,0.760127542975206,5,5,4,2,2,1,1.63270955260512,-0.629640979965272,0.0285,1.77750941609621,3.24616504539238,1.83542352573426,0.0168827830716598
"94","A1ZZSJ0MP1HFP",1,4,4,5,5,2,2,1,4,28,1,1.37737039870038,-0.396930735699312,-0.715036618084846,0.191783254182173,2.19987067733323,5,4,4,5,2,1,0.0268932221085667,1.21959117661777,0.011,5.78663867804467,-2.20747350578664,1.05618046555913,1.26705070591741
"95","A1QOPE5YZYWKHE",0,3,7,6,1,6,6,7,7,31,0,-0.702582913711496,0.715206993817653,-0.240944727359016,0.744409882346917,-1.6394443476215,4,2,3,1,0,1,-0.432043777439896,0.860423090014623,0.00425,0.134168889715383,3.42214854395999,-1.41012040206035,-2.9240842405151
"96","AR1IWBDA7MC86",0,4,7,5,3,3,3,1,2,27,0,-0.702582913711496,1.27127585857614,-0.715036618084846,-0.913470002147316,0.280213164855865,3,1,4,4,2,1,-2.97386218678324,0.142086916808333,0.00175,1.86704229047048,-2.70339661792564,-1.49235253528698,-2.78280562586658
"97","A1JK9B8OBL9WO7",1,2,2,5,6,1,1,1,3,39,1,1.37737039870038,-0.396930735699312,-0.715036618084846,-0.360843373982571,-0.679615591382816,6,1,3,2,1,1,0.626415056391236,0.860423090014623,0.011,-1.54904112876051,-4.04538834082385,0.875300048588907,0.275429893338746
"98","A7D1FSJZSM3MJ",0,3,1,6,4,2,4,7,1,33,1,1.37737039870038,0.159138129059171,-0.240944727359016,-1.46609663031206,2.19987067733323,2,1,3,1,1,1,1.63270955260512,1.21959117661777,7e-04,-0.744514643526622,2.87146602489946,-1.79848912196663,-1.7325723001129
